"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
redcap_protocol_id,protocol,,text,"Redcap Protocol #",,,,,,,,,,,,,
instructions,protocol,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Instructions</p> <p style=""text-align: center;""><span style=""font-weight: normal;"">1. All mice in the data entry form are given a number 0,1,3,10,30</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">2. If more than one cage is to be used for a group then use the group name followed by a letter, as such - Test 1A</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">3. If numbers such as 2P, 4,11,13,40 are to be used they will corespond to 0,1,3,10,30 on this data entry form and will always belong to the second group, as such - Test 1B</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">4. If multiple conditions are to be entered into a single field then they must be delimited by a comma-space</span></p> <p style=""text-align: center;"">Notes</p> <p style=""text-align: center;""><span style=""font-weight: normal;"">First Instance of BLI form gives an error, just click through, I haven't found a solution for this, it will not affect the data</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">Chemical Conditioning is curently in the beta stage, contact Jake if you need this for an experiment</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">This form cannot accomodate multiple sources of bone marrow and t-cells, the maximum number of donors is two</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">Other ""custom"" experimental add ons are currently in development</span></p></div>",,,,,,,,,,,,,
protocol_upload,protocol,,file,"<div class=""rich-text-field-label""><p>Protocol Upload</p></div>",,,,,,,,,,,,,
expt_activity,protocol,,yesno,"Experiment is Active ",,,,,,,,,,,,,
bulk_data,protocol,,radio,"<div class=""rich-text-field-label""><p style=""text-align: center;"">MURINE Database Inclusion</p> <p style=""text-align: center; font-size: 10px;""><em>Direct any questions about dataset inclusion to </em></p> <p style=""text-align: center; font-size: 10px;""><em>Jake Fischman, Nicholas Waters, or Tyler Funnell</em></p></div>","1, Include in Bulk Data | 2, Exclude From Bulk Data",,,,,,,y,,,,,
exclusion,protocol,,notes,"<div class=""rich-text-field-label""><p>Rationale For Exclusion:</p></div>",,,,,,,"[bulk_data] = '2'",y,,,,,
metadata,protocol,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 31px;"" border=""1""> <tbody> <tr style=""height: 31px;""> <td style=""width: 61.77049730632562%; height: 31px;""> <table style=""border-collapse: collapse; width: 99.36974789915966%;"" border=""0""> <tbody> <tr> <td style=""width: 35.41997706288181%;"">Experiment Description:</td> <td style=""width: 63.02082631978203%;"">{experiment_name}</td> </tr> </tbody> </table> </td> <td style=""width: 37.21794200003275%; height: 31px;""> <table style=""border-collapse: collapse; width: 98.11320754716981%;"" border=""0""> <tbody> <tr> <td style=""width: 48.22716346153847%;"">Repeat #:</td> <td style=""width: 48.22716346153847%;"">{repeat}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr style=""height: 66px;""> <td style=""width: 55.011306143298825%; height: 66px;""> <table style=""border-collapse: collapse; width: 99.3212669683258%;"" border=""0""> <tbody> <tr> <td style=""width: 49.18430823671519%;"">Investigator:{investigator_id}{new_investigator_label}{new_investigator}</td> <td style=""width: 49.18430823671519%;""> <p>Scoring Technician:{scoring_tech}</p> </td> </tr> </tbody> </table> <p>Experiment Tags: {experiment_tags}</p> </td> <td style=""width: 30.466075276219563%; text-align: center;""> <table style=""border-collapse: collapse; width: 98.78048780487805%;"" border=""0""> <tbody> <tr> <td style=""width: 48.62397119341564%;"">Experiment Type:</td> <td style=""width: 48.62397119341564%;"">{experiment_type}</td> </tr> <tr> <td style=""width: 48.62397119341564%;"">Number of Groups: </td> <td style=""width: 48.62397119341564%;"">{number_of_groups}</td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%; height: 10px;"" border=""1""> <tbody> <tr style=""height: 66px;""> <td style=""width: 40.476422422368586%; height: 10px;""> <table style=""border-collapse: collapse; width: 99.13793103448276%; height: 170px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 49.18877643087636%; height: 54px;""> <p>Experiment Start Date:</p> </td> <td style=""width: 49.18877643087636%; height: 54px;"">{experiment_start_date}</td> </tr> <tr> <td style=""width: 49.18877643087636%;""> <p>Transplant/Infusion Date:</p> </td> <td style=""width: 49.18877643087636%;"">{transplant_date}</td> </tr> <tr style=""height: 62px;""> <td style=""width: 49.18877643087636%; height: 62px;""> <p>Experiment End Date:</p> </td> <td style=""width: 49.18877643087636%; height: 62px;"">{experiment_end_date}</td> </tr> <tr style=""height: 54px;""> <td style=""width: 49.18877643087636%; height: 54px;"">End Conditions:</td> <td style=""width: 49.18877643087636%; height: 54px;"">{experiment_end_condition}</td> </tr> </tbody> </table> </td> <td style=""width: 19.704168040059148%; height: 10px;""> <p style=""text-align: center;"">Experimental Additions:</p> <p style=""text-align: left;"">{experimental_additions}</p> </td> </tr> </tbody> </table> <p style=""text-align: left;"">Hypothesis/Purpose: {hypothesis}</p> <p style=""text-align: left;"">Notes: {experiment_notes}</p></div>",,,,,,,,,,,,,
repeat,protocol,,text,,,,,,,,,,,,,," @PLACEHOLDER=""'Repeat X'"""
investigator_id,protocol,,dropdown,"<div class=""rich-text-field-label""><p>Investigator</p></div>","1, New Investigator | 2, Bill Nye | 3, Joe Smith | 4, Durin IV",,autocomplete,,,,,y,,,,,
new_investigator_label,protocol,,descriptive,"<div class=""rich-text-field-label""><p>Enter Name of New Investigator:</p></div>",,,,,,,"[investigator_id] = '1'",,,,,,
